german,english
Affordance,Affordance
Anforderung,Requirement
Aufgabe,Task
Aufgaben­angemessenheit,Suitability for the task
Aufgabenmodell,Task model
Barrierefreiheit,Accessibility
"Befund
>Usability-Befund","Finding
>Usability finding"
Benutzer,User
Benutzer­befragung,User survey
Benutzer­dokumentation,User documentation
Benutzererlebnis,User experience
Benutzergruppe,User group
Benutzergruppen­profil,User group profile
Benutzer­unterstützung,User assistance
"Benutzerzentrierte Gestaltung
>Menschzentrierte Gestaltung","User-centred design
>Human-centred design"
Benutzerzentrierte Usability­-Evaluierung,Usability evaluation –  User based
Benutzungs­schnittstelle,User interface
Beobachter,Observer
Beobachtung,Observation
Briefing,Briefing
Design Pattern,Design pattern
Dialog,Dialogue
Dialogprinzipien,Dialogue principles
Direkter Benutzer,Direct user
Dringlichkeits­stufe,Severity rating
Effektivität,Effectiveness
Effizienz,Efficiency
Erfordernis,User need
Erwartungs­konformität,Conformity with user expectations 
"Evaluierung
>Usability-Evaluierung","Evaluation
>Usability evaluation"
Evaluierungsbericht,Evaluation report
"Facilitator  
>Moderator","Facilitator  
>Moderator"
Fehlertoleranz,Error tolerance
Fokusgruppe,Focus group
Formative Usability-Evaluierung,Formative usability evaluation
Fragebogen,Questionnaire
"Gebrauchstauglichkeit 
>Usability",
Geschlossene Frage,Closed question
Gestaltungsregel,User interface guideline
Heuristik,Heuristic
Heuristische Evaluierung,Heuristic evaluation
High-fidelity-Prototyp,High-fidelity prototype
Indirekter Benutzer,Indirect user
Individualisierbar­keit,Suitability for individualization
Informations­architekt,Information architect
Informations­architektur,Information architecture
"Inspektion
> Inspektionsbasierte Usability-Evaluierung","Inspection
> Usability evaluation – Inspection based"
Inspektions­basierte Usability­-Evaluierung,Usability evaluation – Inspection based
Interaktions­designer,Interaction designer
Interaktives System,Interactive system
Interessenvertreter,Stakeholder
Interessenvertreter­anforderung,Stakeholder requirement
Interview,Interview
Interviewcheckliste,Interview checklist 
Intuitiv,Intuitive
ISO 9241,ISO 9241
Iterativ,Iterative
Konsistenz,Consistency
Kontextuelles Interview,Contextual interview
Lernförderlichkeit,Suitability for learning
Low-fidelity-Prototyp,Low-fidelity prototype
Marktanforderung,Market requirement
Meister-Schüler-Modell,Master-apprentice model
Menschzentrierte Gestaltung,Human-centred design
Mentales Modell,Mental model
Moderation,Moderation
Moderator,Moderator
"Nach­besprechung
>Post-Session Interview","Debriefing
>Post-session interview"
Navigations­struktur,Navigation structure
Neutrale Frage,Neutral question
Nutzungsanforderung,User requirement
Nutzungs­kontext,Context of use
Nutzungsobjekt,Task object
"Nutzungsproblem
>Usability-Problem","Problem
>Usability problem"
"Nutzungsszenario
>Szenario","Use scenario
>Scenario"
Offene Frage,Open question
Onlinehilfe,Online help
Organisatorische Anforderung,Organizational requirement
Persona,Persona
"Positiver Usability-Befund
> UsabilityBefund","Positive usability finding
>Usability finding"
Post-Session Interview,Post-session interview
Pre-Session Interview,Pre-session interview
Primärer Benutzer,Primary user
Protokollant,Note-taker
Prototyp,Prototype
Qualität,Quality
Qualitative Nutzungsanforderung,Qualitative user requirement 
Quantitative Nutzungsanforderung,Quantitative user requirement 
Rekrutierung,Recruiting
Rekrutierungs­fragebogen,Recruitment screener
Remote Usability-Test,Remote usability test
Ressourcen,Resources
"Richtlinie
>Gestaltungsregel","Guideline
>User interface guideline"
Rolle,Role 
Sekundärer Benutzer,Secondary user
Selbstbeschreibungs­fähigkeit,Self-descriptiveness
Steuerbarkeit,Controllability
Storyboard,Storyboard
Styleguide,Styleguide
Suggestionsfrage,Leading question
Summative Usability-Evaluierung,Summative usability evaluation
Systeminitiierte Benutzerführung,System-initiated guidance
Szenario,Scenario
"Szenario des Ist-Zustands
>Szenario","As-is scenario
>Scenario"
"Testaufgabe
>Usability-Testaufgabe","Test task
>Usability test task"
"Testbericht
> Usability-Testteilnehmer","Test report
>Usability test report"
"Testskript
> Usability-Testskript","Test script
>Usability test script"
"Testteilnehmer
>Usability-Testteilnehmer","Test participant 
>Usability test participant"
Umgebung,Environment
Unbeaufsichtigter Usability-Test,Unattended usability test
Usability,Usability
Usability Engineer,Usability engineer
Usability Professional,Usability professional
Usability-Befund,Usability finding
Usability­-Evaluierung,Usability evaluation
Usability-Labor,Usability lab
Usability-Problem,Usability problem
Usability-Test,Usability test
Usability-Test­aufgabe,Usability test task
Usability-Test­bericht,Usability test report
Usability-Tester,Usability tester
"Usability-Test­ergebnis
>Usability-Befund","Usability test result
>Usability finding"
Usability-Testplan,Usability test plan
Usability-Test­sitzung,Usability test session
Usability-Testskript,Usability test script
Usability­-Testteilnehmer,Usability test participant
User Interface Designer,User interface designer
User Requirements Engineer,User requirements engineer
Wireframe,Wireframe
Ziel,Goal
Zufriedenstellung,Satisfaction
